timestamp(ms),solenoid_commanded,analog value (1-1024) (raw),
"91.89",,"510",
"91.892","7",,
"91.896",,"510",
"91.898","7",,
"91.901",,"510",
"91.905","7",,
"91.908",,"510",
"91.911","7",,
"91.914",,"510",
"91.916","7",,
"91.92",,"510",
"91.922","7",,
"91.925",,"510",
"91.928","7",,
"91.931",,"510",
"91.934","8",,
"91.937",,"510",
"91.939","8",,
"91.942",,"510",
"91.945","8",,
"91.949",,"510",
"91.952","8",,
"91.955",,"511",
"91.957","8",,
"91.961",,"510",
"91.963","8",,
"91.966",,"510",
"91.969","8",,
"91.972",,"510",
"91.975","8",,
"91.978",,"510",
"91.98","8",,
"91.984",,"509",
"91.986","8",,
"91.99",,"510",
"91.993","9",,
"91.996",,"510",
"91.999","9",,
"92.002",,"510",
"92.004","9",,
"92.007",,"510",
"92.01","9",,
"92.013",,"510",
"92.016","9",,
"92.019",,"510",
"92.021","9",,
"92.025",,"510",
"92.027","9",,
"92.03",,"510",
"92.034","9",,
"92.037",,"510",
"92.04","9",,
"92.043",,"510",
"92.045","9",,
"92.049",,"510",
"92.051","10",,
"92.054",,"510",
"92.057","10",,
"92.06",,"510",
"92.063","10",,
"92.066",,"510",
"92.069","10",,
"92.072",,"510",
"92.075","10",,
"92.079",,"510",
"92.081","10",,
"92.084",,"510",
"92.087","10",,
"92.09",,"510",
"92.093","10",,
"92.096",,"510",
"92.099","10",,
"92.102",,"510",
"92.104","10",,
"92.108",,"510",
"92.11","11",,
"92.113",,"510",
"92.116","11",,
"92.12",,"510",
"92.123","11",,
"92.126",,"510",
"92.129","11",,
"92.132",,"511",
"92.134","11",,
"92.138",,"510",
"92.14","11",,
"92.143",,"510",
"92.146","11",,
"92.149",,"510",
"92.152","11",,
"92.155",,"510",
"92.158","11",,
"92.162",,"510",
"92.164","11",,
"92.168",,"510",
"92.17","12",,
"92.174",,"510",
"92.176","12",,
"92.179",,"510",
"92.182","12",,
"92.185",,"510",
"92.188","12",,
"92.191",,"510",
"92.194","12",,
"92.197",,"510",
"92.199","12",,
"92.204",,"510",
"92.206","12",,
"92.209",,"510",
"92.212","12",,
"92.215",,"509",
"92.218","12",,
"92.221",,"510",
"92.224","12",,
"92.227",,"511",
"92.229","13",,
"92.233",,"510",
"92.235","13",,
"92.238",,"510",
"92.241","13",,
"92.244",,"510",
"92.248","13",,
"92.251",,"510",
"92.254","13",,
"92.257",,"511",
"92.259","13",,
"92.263",,"510",
"92.265","13",,
"92.269",,"510",
"92.271","13",,
"92.274",,"510",
"92.277","13",,
"92.28",,"510",
"92.283","13",,
"92.286",,"510",
"92.29","14",,
"92.293",,"510",
"92.295","14",,
"92.299",,"510",
"92.301","14",,
"92.304",,"510",
"92.307","14",,
"92.31",,"510",
"92.313","14",,
"92.316",,"510",
"92.319","14",,
"92.322",,"510",
"92.324","14",,
"92.328",,"510",
"92.331","14",,
"92.334",,"510",
"92.337","14",,
"92.34",,"510",
"92.343","14",,
"92.346",,"510",
"92.349","15",,
"92.352",,"511",
"92.354","15",,
"92.358",,"510",
"92.36","15",,
"92.363",,"510",
"92.366","15",,
"92.369",,"510",
"92.372","15",,
"92.376",,"510",
"92.379","15",,
"92.382",,"511",
"92.384","15",,
"92.388",,"510",
"92.39","15",,
"92.394",,"510",
"92.396","15",,
"92.399",,"510",
"92.402","15",,
"92.405",,"510",
"92.408","16",,
"92.411",,"510",
"92.414","16",,
"92.418",,"510",
"92.42","16",,
"92.424",,"510",
"92.426","16",,
"92.429",,"510",
"92.432","16",,
"92.435",,"510",
"92.438","16",,
"92.441",,"510",
"92.444","16",,
"92.447",,"510",
"92.449","16",,
"92.453",,"510",
"92.455","16",,
"92.459",,"510",
"92.462","16",,
"92.465",,"510",
"92.468","17",,
"92.471",,"510",
"92.474","17",,
"92.477",,"512",
"92.479","17",,
"92.483",,"510",
"92.485","17",,
"92.488",,"510",
"92.491","17",,
"92.494",,"510",
"92.497","17",,
"92.5",,"510",
"92.504","17",,
"92.507",,"511",
"92.51","17",,
"92.513",,"510",
"92.515","17",,
"92.519",,"510",
"92.521","17",,
"92.524",,"510",
"92.527","18",,
"92.53",,"510",
"92.533","18",,
"92.536",,"510",
"92.539","18",,
"92.542",,"510",
"92.545","18",,
"92.549",,"510",
"92.551","18",,
"92.554",,"510",
"92.557","18",,
"92.56",,"510",
"92.563","18",,
"92.566",,"510",
"92.569","18",,
"92.572",,"511",
"92.574","18",,
"92.578",,"510",
"92.58","18",,
"92.583",,"510",
"92.587","19",,
"92.59",,"510",
"92.593","19",,
"92.596",,"510",
"92.599","19",,
"92.602",,"512",
"92.604","19",,
"92.608",,"510",
"92.61","19",,
"92.614",,"510",
"92.616","19",,
"92.619",,"510",
"92.622","19",,
"92.625",,"510",
"92.628","19",,
"92.632",,"511",
"92.635","19",,
"92.638",,"510",
"92.64","19",,
"92.644",,"510",
"92.646","20",,
"92.649",,"510",
"92.652","20",,
"92.655",,"510",
"92.658","20",,
"92.661",,"510",
"92.664","20",,
"92.667",,"511",
"92.669","20",,
"92.674",,"510",
"92.676","20",,
"92.679",,"510",
"92.682","20",,
"92.685",,"510",
"92.688","20",,
"92.691",,"510",
"92.694","20",,
"92.697",,"512",
"92.699","20",,
"92.703",,"510",
"92.705","21",,
"92.708",,"510",
"92.711","21",,
"92.715",,"510",
"92.718","21",,
"92.721",,"510",
"92.724","21",,
"92.727",,"511",
"92.729","21",,
"92.733",,"510",
"92.735","21",,
"92.739",,"510",
"92.741","21",,
"92.744",,"510",
"92.747","21",,
"92.75",,"510",
"92.753","21",,
"92.756",,"510",
"92.76","21",,
"92.763",,"510",
"92.765","22",,
"92.769",,"510",
"92.771","22",,
"92.774",,"510",
"92.777","22",,
"92.78",,"510",
"92.783","22",,
"92.786",,"510",
"92.789","22",,
"92.792",,"511",
"92.794","22",,
"92.798",,"510",
"92.801","22",,
"92.804",,"510",
"92.807","22",,
"92.81",,"510",
"92.813","22",,
"92.816",,"510",
"92.819","22",,
"92.822",,"512",
"92.824","23",,
"92.828",,"510",
"92.83","23",,
"92.834",,"510",
"92.836","23",,
"92.839",,"510",
"92.843","23",,
"92.846",,"510",
"92.849","23",,
"92.852",,"511",
"92.855","23",,
"92.858",,"510",
"92.86","23",,
"92.864",,"510",
"92.866","23",,
"92.869",,"510",
"92.872","23",,
"92.875",,"510",
"92.878","23",,
"92.881",,"511",
"92.884","24",,
"92.888",,"510",
"92.89","24",,
"92.894",,"510",
"92.896","24",,
"92.899",,"510",
"92.902","24",,
"92.905",,"510",
"92.908","24",,
"92.911",,"510",
"92.914","24",,
"92.917",,"512",
"92.919","24",,
"92.923",,"510",
"92.925","24",,
"92.929",,"510",
"92.932","24",,
"92.935",,"510",
"92.938","24",,
"92.941",,"510",
"92.944","25",,
"92.947",,"512",
"92.949","25",,
"92.953",,"510",
"92.955","25",,
"92.959",,"510",
"92.961","25",,
"92.964",,"510",
"92.967","25",,
"92.971",,"510",
"92.974","25",,
"92.977",,"511",
"92.98","25",,
"92.983",,"510",
"92.985","25",,
"92.989",,"510",
"92.991","25",,
"92.994",,"510",
"92.997","25",,
"93",,"510",
"93.003","26",,
"93.006",,"510",
"93.009","26",,
"93.012",,"511",
"93.015","26",,
"93.019",,"510",
"93.021","26",,
"93.024",,"510",
"93.027","26",,
"93.03",,"510",
"93.033","26",,
"93.036",,"511",
"93.039","26",,
"93.042",,"512",
"93.044","26",,
"93.048",,"510",
"93.05","26",,
"93.053",,"510",
"93.057","26",,
"93.06",,"510",
"93.063","27",,
