timestamp(ms),Hall analog (raw),Solenoid value (0-255),
"71.562",,"148",
"71.565","515",,
"71.568",,"148",
"71.57","522",,
"71.573",,"148",
"71.576","523",,
"71.579",,"148",
"71.581","517",,
"71.584",,"148",
"71.587","525",,
"71.589",,"148",
"71.592","515",,
"71.596",,"148",
"71.598","521",,
"71.601",,"148",
"71.604","522",,
"71.607",,"148",
"71.609","516",,
"71.612",,"148",
"71.615","525",,
"71.617",,"148",
"71.62","517",,
"71.623",,"148",
"71.625","521",,
"71.628",,"148",
"71.631","524",,
"71.634",,"148",
"71.636","515",,
"71.64",,"148",
"71.642","524",,
"71.645",,"148",
"71.648","516",,
"71.651",,"148",
"71.653","519",,
"71.656",,"148",
"71.659","524",,
"71.662",,"148",
"71.664","515",,
"71.667",,"148",
"71.669","524",,
"71.672",,"149",
"71.675","518",,
"71.678",,"149",
"71.681","520",,
"71.684",,"149",
"71.687","526",,
"71.69",,"149",
"71.692","515",,
"71.695",,"149",
"71.697","523",,
"71.7",,"149",
"71.703","518",,
"71.706",,"149",
"71.708","519",,
"71.711",,"149",
"71.714","526",,
"71.717",,"149",
"71.719","514",,
"71.723",,"149",
"71.725","523",,
"71.728",,"149",
"71.731","520",,
"71.734",,"149",
"71.736","519",,
"71.739",,"149",
"71.742","527",,
"71.745",,"149",
"71.747","514",,
"71.75",,"149",
"71.752","523",,
"71.755",,"149",
"71.758","520",,
"71.761",,"149",
"71.763","518",,
"71.767",,"149",
"71.77","527",,
"71.773",,"149",
"71.775","515",,
"71.778",,"149",
"71.78","523",,
"71.783",,"150",
"71.786","522",,
"71.789",,"150",
"71.791","518",,
"71.794",,"150",
"71.797","526",,
"71.799",,"150",
"71.802","515",,
"71.805",,"150",
"71.808","522",,
"71.811",,"150",
"71.814","522",,
"71.817",,"150",
"71.819","517",,
"71.822",,"150",
"71.825","526",,
"71.827",,"150",
"71.83","516",,
"71.833",,"150",
"71.835","522",,
"71.838",,"150",
"71.841","524",,
"71.844",,"150",
"71.846","517",,
"71.849",,"150",
"71.853","525",,
"71.855",,"150",
"71.858","517",,
"71.861",,"150",
"71.863","521",,
"71.866",,"150",
"71.869","523",,
"71.872",,"150",
"71.874","516",,
"71.877",,"150",
"71.88","525",,
"71.882",,"150",
"71.885","518",,
"71.888",,"150",
"71.89","521",,
"71.894",,"151",
"71.897","526",,
"71.9",,"151",
"71.902","516",,
"71.905",,"151",
"71.907","525",,
"71.91",,"151",
"71.913","518",,
"71.916",,"151",
"71.918","520",,
"71.921",,"151",
"71.924","526",,
"71.927",,"151",
"71.929","515",,
"71.932",,"151",
"71.934","525",,
"71.938",,"151",
"71.941","520",,
"71.944",,"151",
"71.946","520",,
"71.949",,"151",
"71.952","527",,
"71.955",,"151",
"71.957","515",,
"71.96",,"151",
"71.962","523",,
"71.965",,"151",
"71.968","520",,
"71.971",,"151",
"71.973","519",,
"71.976",,"151",
"71.98","527",,
"71.983",,"151",
"71.985","514",,
"71.988",,"151",
"71.99","523",,
"71.993",,"151",
"71.996","521",,
"71.999",,"151",
"72.001","519",,
"72.004",,"152",
"72.007","527",,
"72.01",,"152",
"72.012","515",,
"72.015",,"152",
"72.017","523",,
"72.02",,"152",
"72.024","522",,
"72.027",,"152",
"72.029","518",,
"72.032",,"152",
"72.035","527",,
"72.037",,"152",
"72.04","516",,
"72.043",,"152",
"72.045","523",,
"72.048",,"152",
"72.051","523",,
"72.054",,"152",
"72.056","518",,
"72.059",,"152",
"72.062","526",,
"72.065",,"152",
"72.068","516",,
"72.071",,"152",
"72.073","522",,
"72.076",,"152",
"72.079","523",,
"72.082",,"152",
"72.084","517",,
"72.087",,"152",
"72.09","526",,
"72.092",,"152",
"72.095","518",,
"72.098",,"152",
"72.1","522",,
"72.103",,"152",
"72.107","525",,
"72.11",,"152",
"72.112","517",,
"72.115",,"153",
"72.118","526",,
"72.12",,"153",
"72.123","518",,
"72.126",,"153",
"72.128","521",,
"72.131",,"153",
"72.134","525",,
"72.137",,"153",
"72.139","516",,
"72.142",,"153",
"72.144","525",,
"72.147",,"153",
"72.151","520",,
"72.154",,"153",
"72.156","521",,
"72.159",,"153",
"72.162","527",,
"72.165",,"153",
"72.167","516",,
"72.17",,"153",
"72.172","525",,
"72.175",,"153",
"72.178","519",,
"72.181",,"153",
"72.183","520",,
"72.186",,"153",
"72.189","527",,
"72.193",,"153",
"72.195","515",,
"72.198",,"153",
"72.2","524",,
"72.203",,"153",
"72.206","521",,
"72.209",,"153",
"72.211","520",,
"72.214",,"153",
"72.217","528",,
"72.22",,"153",
"72.222","515",,
"72.225",,"154",
"72.227","524",,
"72.23",,"154",
"72.233","521",,
"72.237",,"154",
"72.239","519",,
"72.242",,"154",
"72.245","528",,
"72.248",,"154",
"72.25","516",,
"72.253",,"154",
"72.255","524",,
"72.258",,"154",
"72.261","523",,
"72.264",,"154",
"72.266","519",,
"72.269",,"154",
"72.272","527",,
"72.274",,"154",
"72.278","516",,
"72.281",,"154",
"72.283","523",,
"72.286",,"154",
"72.289","523",,
"72.292",,"154",
"72.294","518",,
"72.297",,"154",
"72.3","527",,
"72.302",,"154",
"72.305","517",,
"72.308",,"154",
"72.31","523",,
"72.313",,"154",
"72.316","525",,
"72.32",,"154",
"72.322","518",,
"72.325",,"154",
"72.328","527",,
"72.33",,"154",
"72.333","517",,
"72.336",,"155",
"72.338","522",,
"72.341",,"155",
"72.344","525",,
"72.347",,"155",
"72.349","517",,
"72.352",,"155",
"72.355","527",,
"72.357",,"155",
"72.36","519",,
"72.364",,"155",
"72.366","522",,
"72.369",,"155",
"72.372","527",,
"72.375",,"155",
"72.377","517",,
"72.38",,"155",
"72.382","526",,
"72.385",,"155",
"72.388","520",,
"72.391",,"155",
"72.393","521",,
"72.396",,"155",
"72.399","527",,
"72.402",,"155",
"72.404","516",,
"72.408",,"155",
"72.41","526",,
"72.413",,"155",
"72.416","521",,
"72.419",,"155",
"72.421","521",,
"72.424",,"155",
"72.427","528",,
"72.43",,"155",
"72.432","516",,
"72.435",,"155",
"72.437","525",,
"72.44",,"155",
"72.443","521",,
"72.446",,"156",
"72.449","520",,
"72.452",,"156",
"72.455","528",,
"72.458",,"156",
"72.46","516",,
"72.463",,"156",
"72.465","525",,
"72.468",,"156",
"72.471","523",,
"72.474",,"156",
"72.476","520",,
"72.479",,"156",
"72.482","528",,
"72.485",,"156",
"72.487","516",,
"72.491",,"156",
"72.493","524",,
"72.496",,"156",
"72.499","523",,
"72.502",,"156",
"72.504","519",,
"72.507",,"156",
"72.51","528",,
"72.512",,"156",
"72.515","517",,
"72.518",,"156",
"72.52","524",,
"72.523",,"156",
"72.526","525",,
"72.529",,"156",
"72.531","519",,
"72.535",,"156",
"72.538","528",,
"72.54",,"156",
"72.543","517",,
"72.546",,"156",
"72.548","523",,
"72.551",,"156",
"72.554","525",,
"72.557",,"157",
"72.559","518",,
"72.562",,"157",
"72.565","528",,
"72.567",,"157",
"72.57","519",,
"72.573",,"157",
"72.576","524",,
"72.579",,"157",
"72.582","527",,
"72.585",,"157",
"72.587","519",,
"72.59",,"157",
"72.593","527",,
"72.595",,"157",
"72.598","519",,
"72.601",,"157",
"72.603","522",,
"72.606",,"157",
"72.609","527",,
"72.612",,"157",
"72.614","517",,
"72.617",,"157",
"72.621","527",,
"72.623",,"157",
"72.626","521",,
"72.629",,"157",
"72.631","523",,
"72.634",,"157",
"72.637","528",,
"72.64",,"157",
"72.642","518",,
"72.645",,"157",
"72.647","526",,
"72.65",,"157",
"72.653","520",,
"72.656",,"157",
"72.658","521",,
"72.662",,"157",
"72.665","528",,
"72.668",,"158",
"72.67","517",,
"72.673",,"158",
"72.675","526",,
"72.678",,"158",
"72.681","523",,
"72.684",,"158",
"72.686","522",,
"72.689",,"158",
"72.692","530",,
"72.695",,"158",
"72.697","517",,
"72.7",,"158",
"72.702","526",,
"72.706",,"158",
"72.709","523",,
"72.712",,"158",
"72.714","521",,
"72.717",,"158",
"72.72","530",,
"72.723",,"158",
"72.725","517",,
"72.728",,"158",
"72.73","526",,
"72.733",,"158",
"72.736","525",,
"72.739",,"158",
"72.741","521",,
"72.744",,"158",
"72.748","529",,
"72.751",,"158",
"72.753","517",,
"72.756",,"158",
"72.758","524",,
"72.761",,"158",
"72.764","524",,
"72.767",,"158",
"72.769","520",,
"72.772",,"158",
"72.775","528",,
"72.777",,"159",
"72.78","520",,
"72.783",,"159",
"72.785","525",,
"72.788",,"159",
"72.792","527",,
"72.795",,"159",
"72.797","521",,
"72.8",,"159",
"72.803","528",,
"72.805",,"159",
"72.808","520",,
"72.811",,"159",
"72.813","524",,
"72.816",,"159",
"72.819","527",,
"72.822",,"159",
"72.824","519",,
"72.827",,"159",
"72.83","529",,
"72.833",,"159",
"72.836","521",,
"72.839",,"159",
"72.841","524",,
"72.844",,"159",
"72.847","528",,
"72.85",,"159",
"72.852","519",,
"72.855",,"159",
"72.858","527",,
"72.86",,"159",
"72.863","521",,
"72.866",,"159",
"72.868","523",,
"72.871",,"159",
"72.875","529",,
"72.878",,"159",
"72.88","518",,
"72.883",,"159",
"72.885","528",,
"72.888",,"160",
"72.891","523",,
"72.894",,"160",
"72.896","524",,
"72.899",,"160",
"72.902","531",,
"72.905",,"160",
"72.907","519",,
"72.91",,"160",
"72.912","527",,
"72.915",,"160",
"72.919","523",,
"72.922",,"160",
"72.924","522",,
"72.927",,"160",
"72.93","531",,
"72.933",,"160",
"72.935","518",,
"72.938",,"160",
"72.94","527",,
"72.943",,"160",
"72.946","525",,
"72.949",,"160",
"72.951","522",,
"72.954",,"160",
"72.957","530",,
"72.961",,"160",
"72.963","518",,
"72.966",,"160",
"72.968","526",,
"72.971",,"160",
"72.974","525",,
"72.977",,"160",
"72.979","522",,
"72.982",,"160",
"72.985","530",,
"72.988",,"160",
"72.99","519",,
"72.993",,"160",
"72.995","526",,
"72.998",,"161",
"73.001","527",,
"73.005",,"161",
"73.007","522",,
"73.01",,"161",
"73.013","530",,
"73.015",,"161",
"73.018","520",,
"73.021",,"161",
"73.023","526",,
"73.026",,"161",
"73.029","527",,
"73.032",,"161",
"73.034","521",,
"73.037",,"161",
"73.04","530",,
"73.042",,"161",
"73.046","521",,
"73.049",,"161",
"73.051","525",,
"73.054",,"161",
"73.057","529",,
"73.06",,"161",
"73.062","521",,
"73.065",,"161",
"73.068","529",,
"73.07",,"161",
"73.073","521",,
"73.076",,"161",
"73.078","525",,
"73.081",,"161",
"73.084","529",,
"73.088",,"161",
"73.09","520",,
"73.093",,"161",
"73.096","529",,
"73.098",,"161",
"73.101","523",,
"73.104",,"161",
"73.106","525",,
"73.109",,"162",
"73.112","531",,
"73.115",,"162",
"73.117","521",,
"73.12",,"162",
"73.122","528",,
"73.125",,"162",
"73.128","523",,
"73.132",,"162",
"73.134","524",,
"73.137",,"162",
"73.14","531",,
"73.143",,"162",
"73.145","520",,
"73.148",,"162",
"73.15","529",,
"73.153",,"162",
"73.156","525",,
"73.159",,"162",
"73.161","524",,
"73.164",,"162",
"73.167","532",,
"73.17",,"162",
"73.172","520",,
"73.176",,"162",
"73.178","528",,
"73.181",,"162",
"73.184","525",,
"73.187",,"162",
"73.189","523",,
"73.192",,"162",
"73.195","532",,
"73.198",,"162",
"73.2","519",,
"73.203",,"162",
"73.205","528",,
"73.208",,"163",
"73.211","527",,
"73.214",,"163",
"73.217","524",,
"73.22",,"163",
"73.223","531",,
"73.226",,"163",
"73.228","520",,
"73.231",,"163",
"73.233","528",,
"73.236",,"163",
"73.239","527",,
"73.242",,"163",
"73.244","523",,
"73.247",,"163",
"73.25","532",,
"73.252",,"163",
"73.255","522",,
"73.259",,"163",
"73.261","527",,
"73.264",,"163",
"73.267","529",,
"73.27",,"163",
"73.272","523",,
"73.275",,"163",
"73.278","530",,
"73.28",,"163",
"73.283","521",,
"73.286",,"163",
"73.288","526",,
"73.291",,"163",
"73.294","529",,
"73.297",,"163",
"73.299","522",,
"73.303",,"163",
"73.306","531",,
"73.308",,"163",
"73.311","523",,
"73.314",,"163",
"73.316","527",,
"73.319",,"164",
"73.322","531",,
"73.325",,"164",
"73.327","522",,
"73.33",,"164",
"73.333","530",,
"73.335",,"164",
"73.338","524",,
"73.341",,"164",
"73.344","526",,
"73.347",,"164",
"73.35","531",,
"73.353",,"164",
"73.355","521",,
"73.358",,"164",
"73.361","530",,
"73.363",,"164",
"73.366","525",,
"73.369",,"164",
"73.371","526",,
"73.374",,"164",
"73.377","533",,
"73.38",,"164",
"73.382","521",,
"73.385",,"164",
"73.388","529",,
"73.391",,"164",
"73.394","525",,
"73.397",,"164",
"73.399","525",,
"73.402",,"164",
"73.405","533",,
"73.408",,"164",
"73.41","520",,
"73.413",,"164",
"73.415","529",,
"73.418",,"164",
"73.421","527",,
"73.424",,"164",
"73.426","525",,
"73.43",,"165",
"73.433","533",,
"73.436",,"165",
"73.438","521",,
"73.441",,"165",
"73.443","529",,
"73.446",,"165",
"73.449","528",,
"73.452",,"165",
"73.454","525",,
"73.457",,"165",
"73.46","533",,
"73.463",,"165",
"73.465","521",,
"73.468",,"165",
"73.47","529",,
"73.474",,"165",
"73.477","529",,
"73.48",,"165",
"73.482","524",,
"73.485",,"165",
"73.488","532",,
"73.491",,"165",
"73.493","521",,
"73.496",,"165",
"73.498","528",,
"73.501",,"165",
"73.504","529",,
"73.507",,"165",
"73.509","524",,
"73.512",,"165",
"73.516","532",,
"73.518",,"165",
"73.521","523",,
"73.524",,"165",
"73.526","528",,
"73.529",,"165",
"73.532","531",,
"73.535",,"165",
"73.537","524",,
"73.54",,"166",
"73.543","532",,
"73.545",,"166",
"73.548","524",,
"73.551",,"166",
"73.553","528",,
"73.556",,"166",
"73.56","531",,
"73.563",,"166",
"73.565","523",,
"73.568",,"166",
"73.571","532",,
"73.573",,"166",
"73.576","526",,
"73.579",,"166",
"73.581","528",,
"73.584",,"166",
"73.587","533",,
"73.59",,"166",
"73.592","523",,
"73.595",,"166",
"73.598","531",,
"73.601",,"166",
"73.604","525",,
"73.607",,"166",
"73.609","527",,
"73.612",,"166",
"73.615","533",,
"73.618",,"166",
"73.62","522",,
"73.623",,"166",
"73.625","531",,
"73.628",,"166",
"73.631","527",,
"73.634",,"166",
"73.636","527",,
"73.639",,"166",
"73.643","534",,
"73.646",,"166",
"73.648","522",,
"73.651",,"167",
"73.653","530",,
"73.656",,"167",
"73.659","528",,
"73.662",,"167",
"73.664","527",,
"73.667",,"167",
"73.67","534",,
"73.673",,"167",
"73.675","522",,
"73.678",,"167",
"73.68","530",,
"73.683",,"167",
"73.687","529",,
"73.69",,"167",
"73.692","526",,
"73.695",,"167",
"73.698","533",,
"73.701",,"167",
"73.703","522",,
"73.706",,"167",
"73.708","529",,
"73.711",,"167",
"73.714","529",,
"73.717",,"167",
"73.719","525",,
"73.722",,"167",
"73.725","534",,
"73.729",,"167",
"73.731","523",,
"73.734",,"167",
"73.736","530",,
"73.739",,"167",
"73.742","531",,
"73.745",,"167",
"73.747","526",,
"73.75",,"167",
"73.753","533",,
"73.755",,"167",
"73.758","523",,
"73.761",,"168",
"73.763","529",,
"73.766",,"168",
"73.769","532",,
"73.773",,"168",
"73.775","525",,
"73.778",,"168",
"73.781","533",,
"73.783",,"168",
"73.786","526",,
"73.789",,"168",
"73.791","529",,
"73.794",,"168",
"73.797","534",,
"73.8",,"168",
"73.802","525",,
"73.805",,"168",
"73.808","532",,
"73.81",,"168",
"73.814","526",,
"73.817",,"168",
"73.819","528",,
"73.822",,"168",
"73.825","533",,
"73.828",,"168",
"73.83","524",,
"73.833",,"168",
"73.836","532",,
"73.838",,"168",
"73.841","527",,
"73.844",,"168",
"73.846","528",,
"73.849",,"168",
"73.852","535",,
"73.856",,"168",
"73.858","524",,
"73.861",,"168",
"73.863","532",,
"73.866",,"168",
"73.869","527",,
"73.872",,"169",
"73.874","528",,
"73.877",,"169",
"73.88","536",,
"73.883",,"169",
"73.885","524",,
"73.888",,"169",
"73.89","532",,
"73.893",,"169",
"73.896","530",,
"73.9",,"169",
"73.902","528",,
"73.905",,"169",
"73.908","535",,
"73.911",,"169",
"73.913","524",,
"73.916",,"169",
"73.918","532",,
"73.921",,"169",
"73.924","531",,
"73.927",,"169",
"73.929","528",,
"73.932",,"169",
"73.935","534",,
"73.938",,"169",
"73.94","523",,
"73.944",,"169",
"73.946","531",,
"73.949",,"169",
"73.952","530",,
"73.955",,"169",
"73.957","526",,
"73.96",,"169",
"73.963","535",,
"73.966",,"169",
"73.968","524",,
"73.971",,"169",
"73.973","531",,
"73.976",,"170",
"73.979","533",,
"73.982",,"170",
"73.985","527",,
"73.988",,"170",
"73.991","534",,
"73.993",,"170",
"73.996","525",,
"73.999",,"170",
"74.001","531",,
"74.004",,"170",
"74.007","533",,
"74.01",,"170",
"74.012","526",,
"74.015",,"170",
"74.018","534",,
"74.02",,"170",
"74.023","526",,
"74.027",,"170",
"74.029","531",,
"74.032",,"170",
"74.035","534",,
"74.038",,"170",
"74.04","527",,
"74.043",,"170",
"74.046","533",,
"74.048",,"170",
"74.051","526",,
"74.054",,"170",
"74.056","529",,
"74.059",,"170",
"74.062","534",,
"74.065",,"170",
"74.067","525",,
"74.071",,"170",
"74.074","534",,
"74.076",,"170",
"74.079","528",,
"74.082",,"170",
"74.084","530",,
"74.087",,"171",
"74.09","537",,
"74.093",,"171",
"74.095","526",,
"74.098",,"171",
"74.1","533",,
"74.103",,"171",
"74.106","528",,
"74.109",,"171",
"74.112","529",,
"74.115",,"171",
"74.118","537",,
"74.121",,"171",
"74.123","525",,
"74.126",,"171",
"74.128","533",,
"74.131",,"171",
"74.134","531",,
"74.137",,"171",
"74.139","529",,
"74.142",,"171",
"74.145","536",,
"74.148",,"171",
"74.15","525",,
"74.153",,"171",
"74.156","532",,
"74.159",,"171",
"74.162","531",,
"74.165",,"171",
"74.167","528",,
"74.17",,"171",
"74.173","536",,
"74.176",,"171",
"74.178","525",,
"74.181",,"171",
"74.183","533",,
"74.186",,"171",
"74.189","532",,
"74.192",,"171",
"74.194","529",,
"74.198",,"172",
"74.201","536",,
"74.204",,"172",
"74.206","525",,
"74.209",,"172",
"74.211","532",,
"74.214",,"172",
"74.217","533",,
"74.22",,"172",
"74.222","528",,
"74.225",,"172",
"74.228","536",,
"74.231",,"172",
"74.233","527",,
"74.236",,"172",
"74.238","532",,
"74.242",,"172",
"74.245","535",,
"74.248",,"172",
"74.25","528",,
"74.253",,"172",
"74.256","535",,
"74.258",,"172",
"74.261","526",,
"74.264",,"172",
"74.266","531",,
"74.269",,"172",
"74.272","535",,
"74.275",,"172",
"74.277","527",,
"74.28",,"172",
"74.284","535",,
"74.286",,"172",
"74.289","528",,
"74.292",,"172",
"74.294","531",,
"74.297",,"172",
"74.3","537",,
"74.303",,"172",
"74.305","527",,
"74.308",,"173",
"74.311","535",,
"74.313",,"173",
"74.316","529",,
"74.319",,"173",
"74.321","531",,
"74.324",,"173",
"74.328","537",,
"74.331",,"173",
"74.333","527",,
"74.336",,"173",
"74.339","535",,
"74.341",,"173",
"74.344","531",,
"74.347",,"173",
"74.349","531",,
"74.352",,"173",
"74.355","537",,
"74.358",,"173",
"74.36","527",,
"74.363",,"173",
"74.365","534",,
"74.369",,"173",
"74.372","531",,
"74.375",,"173",
"74.377","530",,
"74.38",,"173",
"74.383","538",,
"74.386",,"173",
"74.388","526",,
"74.391",,"173",
"74.393","534",,
"74.396",,"173",
"74.399","533",,
"74.402",,"173",
"74.404","530",,
"74.407",,"173",
"74.411","537",,
"74.414",,"173",
"74.416","526",,
"74.419",,"174",
"74.421","533",,
"74.424",,"174",
"74.427","533",,
"74.43",,"174",
"74.432","529",,
"74.435",,"174",
"74.438","537",,
"74.441",,"174",
"74.443","527",,
"74.446",,"174",
"74.448","534",,
"74.451",,"174",
"74.455","535",,
"74.458",,"174",
"74.46","530",,
"74.463",,"174",
"74.466","536",,
"74.469",,"174",
"74.471","527",,
"74.474",,"174",
"74.476","533",,
"74.479",,"174",
"74.482","535",,
"74.485",,"174",
"74.487","529",,
"74.49",,"174",
"74.493","536",,
"74.496",,"174",
"74.499","528",,
"74.502",,"174",
"74.504","533",,
"74.507",,"174",
"74.51","537",,
"74.513",,"174",
"74.515","529",,
"74.518",,"174",
"74.521","536",,
"74.523",,"174",
"74.526","528",,
"74.529",,"175",
"74.531","533",,
"74.534",,"175",
"74.537","538",,
"74.541",,"175",
"74.543","528",,
"74.546",,"175",
"74.549","536",,
"74.551",,"175",
"74.554","531",,
"74.557",,"175",
"74.559","532",,
"74.562",,"175",
"74.565","538",,
"74.568",,"175",
"74.57","528",,
"74.573",,"175",
"74.576","536",,
"74.578",,"175",
"74.582","531",,
"74.585",,"175",
"74.587","532",,
"74.59",,"175",
"74.593","539",,
"74.596",,"175",
"74.598","528",,
"74.601",,"175",
"74.603","535",,
"74.606",,"175",
"74.609","533",,
"74.612",,"175",
"74.614","532",,
"74.617",,"175",
"74.62","538",,
"74.624",,"175",
"74.626","528",,
"74.629",,"175",
"74.631","535",,
"74.634",,"175",
"74.637","532",,
"74.64",,"176",
"74.642","531",,
"74.645",,"176",
"74.648","539",,
"74.651",,"176",
"74.653","527",,
"74.656",,"176",
"74.658","535",,
"74.661",,"176",
"74.664","535",,
"74.668",,"176",
"74.67","531",,
"74.673",,"176",
"74.676","538",,
"74.679",,"176",
"74.681","527",,
"74.684",,"176",
"74.686","534",,
"74.689",,"176",
"74.692","535",,
"74.695",,"176",
"74.697","530",,
"74.7",,"176",
"74.703","538",,
"74.706",,"176",
"74.708","529",,
"74.712",,"176",
"74.714","534",,
"74.717",,"176",
"74.72","537",,
"74.723",,"176",
"74.725","531",,
"74.728",,"176",
"74.731","537",,
"74.733",,"176",
"74.736","528",,
"74.739",,"176",
"74.741","533",,
"74.744",,"176",
"74.747","537",,
"74.75",,"177",
"74.753","530",,
"74.756",,"177",
"74.759","538",,
"74.761",,"177",
"74.764","531",,
"74.767",,"177",
"74.769","534",,
"74.772",,"177",
"74.775","540",,
"74.778",,"177",
"74.78","530",,
"74.783",,"177",
"74.786","537",,
"74.788",,"177",
"74.791","531",,
"74.795",,"177",
"74.797","533",,
"74.8",,"177",
"74.803","540",,
"74.806",,"177",
"74.808","529",,
"74.811",,"177",
"74.814","537",,
"74.816",,"177",
"74.819","533",,
"74.822",,"177",
"74.824","533",,
"74.827",,"177",
"74.83","539",,
"74.833",,"177",
"74.835","530",,
"74.839",,"177",
"74.841","536",,
"74.844",,"177",
"74.847","533",,
"74.85",,"177",
"74.852","532",,
"74.855",,"177",
"74.858","539",,
"74.861",,"178",
"74.863","529",,
"74.866",,"178",
"74.868","537",,
"74.871",,"178",
"74.874","535",,
"74.877",,"178",
"74.88","533",,
"74.883",,"178",
"74.886","539",,
"74.889",,"178",
"74.891","529",,
"74.894",,"178",
"74.896","536",,
"74.899",,"178",
"74.902","535",,
"74.905",,"178",
"74.907","532",,
"74.91",,"178",
"74.913","539",,
"74.916",,"178",
"74.918","529",,
"74.921",,"178",
"74.924","536",,
"74.927",,"178",
"74.93","537",,
"74.933",,"178",
"74.935","532",,
"74.938",,"178",
"74.941","539",,
"74.944",,"178",
"74.946","529",,
"74.949",,"178",
"74.951","535",,
"74.954",,"178",
"74.957","537",,
"74.96",,"178",
"74.962","531",,
"74.966",,"178",
"74.969","539",,
"74.971",,"179",
"74.974","531",,
"74.977",,"179",
"74.979","536",,
"74.982",,"179",
"74.985","540",,
"74.988",,"179",
"74.99","532",,
"74.993",,"179",
"74.996","538",,
"74.998",,"179",
"75.001","531",,
"75.004",,"179",
"75.006","535",,
"75.01",,"179",
"75.013","540",,
"75.016",,"179",
"75.018","531",,
"75.021",,"179",
"75.024","539",,
"75.026",,"179",
"75.029","533",,
"75.032",,"179",
"75.034","535",,
"75.037",,"179",
"75.04","541",,
"75.043",,"179",
"75.045","531",,
"75.048",,"179",
"75.052","538",,
"75.054",,"179",
"75.057","533",,
"75.06",,"179",
"75.062","534",,
"75.065",,"179",
"75.068","541",,
"75.071",,"179",
"75.073","530",,
"75.076",,"179",
"75.079","537",,
"75.081",,"180",
"75.084","535",,
"75.087",,"180",
"75.089","535",,
"75.092",,"180",
"75.096","540",,
"75.099",,"180",
"75.101","531",,
"75.104",,"180",
"75.106","537",,
"75.109",,"180",
"75.112","536",,
"75.115",,"180",
"75.117","534",,
"75.12",,"180",
"75.123","541",,
"75.126",,"180",
"75.128","530",,
"75.131",,"180",
"75.133","537",,
"75.137",,"180",
"75.14","537",,
"75.143",,"180",
"75.145","534",,
"75.148",,"180",
"75.151","540",,
"75.154",,"180",
"75.156","530",,
"75.159",,"180",
"75.161","537",,
"75.164",,"180",
"75.167","537",,
"75.17",,"180",
"75.172","533",,
"75.175",,"180",
"75.179","540",,
"75.182",,"180",
"75.184","531",,
"75.187",,"180",
"75.189","536",,
"75.192",,"181",
"75.195","540",,
"75.198",,"181",
"75.2","534",,
"75.203",,"181",
"75.206","540",,
"75.209",,"181",
"75.211","531",,
"75.214",,"181",
"75.216","537",,
"75.219",,"181",
"75.223","540",,
"75.226",,"181",
"75.228","533",,
"75.231",,"181",
"75.234","540",,
"75.236",,"181",
"75.239","533",,
"75.242",,"181",
"75.244","536",,
"75.247",,"181",
"75.25","541",,
"75.253",,"181",
"75.255","533",,
"75.258",,"181",
"75.261","539",,
"75.264",,"181",
"75.267","533",,
"75.27",,"181",
"75.272","536",,
"75.275",,"181",
"75.278","542",,
"75.281",,"181",
"75.283","532",,
"75.286",,"181",
"75.289","539",,
"75.291",,"181",
"75.294","535",,
"75.297",,"181",
"75.299","536",,
"75.302",,"182",
"75.305","542",,
"75.309",,"182",
"75.311","533",,
"75.314",,"182",
"75.317","539",,
"75.319",,"182",
"75.322","536",,
"75.325",,"182",
"75.327","535",,
"75.33",,"182",
"75.333","542",,
"75.336",,"182",
"75.338","532",,
"75.341",,"182",
"75.343","539",,
"75.346",,"182",
"75.35","537",,
"75.353",,"182",
"75.355","535",,
"75.358",,"182",
"75.361","541",,
"75.364",,"182",
"75.366","532",,
"75.369",,"182",
"75.371","538",,
"75.374",,"182",
"75.377","538",,
"75.38",,"182",
"75.382","535",,
"75.385",,"182",
"75.388","541",,
"75.392",,"182",
"75.394","531",,
"75.397",,"182",
"75.399","538",,
"75.402",,"182",
"75.405","539",,
"75.408",,"182",
"75.41","535",,
"75.413",,"183",
"75.416","541",,
"75.419",,"183",
"75.421","532",,
"75.424",,"183",
"75.426","538",,
"75.429",,"183",
"75.432","540",,
"75.436",,"183",
"75.438","534",,
"75.441",,"183",
"75.444","541",,
"75.447",,"183",
"75.449","533",,
"75.452",,"183",
"75.454","538",,
"75.457",,"183",
"75.46","541",,
"75.463",,"183",
"75.465","534",,
"75.468",,"183",
"75.471","541",,
"75.473",,"183",
"75.476","533",,
"75.48",,"183",
"75.482","537",,
"75.485",,"183",
"75.488","541",,
"75.491",,"183",
"75.493","534",,
"75.496",,"183",
"75.499","541",,
"75.501",,"183",
"75.504","535",,
"75.507",,"183",
"75.509","537",,
"75.512",,"183",
"75.515","543",,
"75.518",,"183",
"75.521","534",,
"75.524",,"184",
"75.527","541",,
"75.529",,"184",
"75.532","535",,
"75.535",,"184",
"75.537","537",,
"75.54",,"184",
"75.543","543",,
"75.546",,"184",
"75.548","534",,
"75.551",,"184",
"75.554","540",,
"75.556",,"184",
"75.559","537",,
"75.563",,"184",
"75.565","537",,
"75.568",,"184",
"75.571","543",,
"75.574",,"184",
"75.576","534",,
"75.579",,"184",
"75.581","540",,
"75.584",,"184",
"75.587","537",,
"75.59",,"184",
"75.592","536",,
"75.595",,"184",
"75.598","543",,
"75.601",,"184",
"75.603","533",,
"75.607",,"184",
"75.609","540",,
"75.612",,"184",
"75.615","539",,
"75.618",,"184",
"75.62","536",,
