Analog Write Value, Sensor Reading
-64, 510
-65, 509
-66, 508
-67, 513
-68, 517
-69, 509
-70, 509
-71, 508
-72, 517
-73, 514
-74, 509
-75, 509
-76, 510
-77, 520
-78, 512
-79, 509
-80, 509
-81, 514
-82, 522
-83, 510
-84, 509
-85, 508
-86, 517
-87, 520
-88, 510
-89, 509
-90, 510
-91, 520
-92, 517
-93, 510
-94, 509
-95, 513
-96, 523
-97, 514
-98, 509
-99, 509
-100, 517
-101, 524
-102, 511
-103, 509
-104, 513
-105, 523
-106, 517
-107, 510
-108, 509
-109, 519
-110, 526
-111, 512
-112, 510
-113, 515
-114, 525
-115, 518
-116, 510
-117, 510
-118, 521
-119, 526
-120, 512
-121, 509
-122, 517
-123, 526
-124, 520
-125, 510
-126, 512
-127, 523
-128, 528
-129, 513
-130, 509
-131, 520
-132, 529
-133, 521
-134, 510
-135, 516
-136, 525
-137, 530
-138, 514
-139, 511
-140, 522
-141, 530
-142, 523
-143, 511
-144, 518
-145, 527
-146, 530
-147, 515
-148, 514
-149, 524
-150, 532
-151, 523
-152, 511
-153, 520
-154, 529
-155, 532
-156, 517
-157, 516
-158, 526
-159, 534
-160, 524
-161, 513
-162, 523
-163, 532
-164, 533
-165, 517
-166, 520
-167, 529
-168, 537
-169, 526
-170, 517
-171, 528
-172, 536
-173, 537
-174, 521
-175, 526
-176, 534
-177, 542
-178, 529
-179, 525
-180, 533
-181, 541
-182, 540
-183, 523
-184, 532
-185, 540
-186, 546
-187, 533
-188, 531
-189, 539
-190, 545
-191, 544
-192, 530
-193, 539
-194, 545
-195, 551
-196, 536
-197, 538
-198, 545
-199, 550
-200, 547
-201, 538
-202, 545
-203, 550
-204, 555
-205, 540
-206, 545
-207, 550
-208, 555
-209, 550
-210, 545
-211, 550
-212, 555
-213, 559
-214, 545
-215, 551
-216, 555
-217, 560
-218, 554
-219, 551
-220, 556
-221, 560
-222, 563
-223, 553
-224, 557
-225, 561
-226, 564
-227, 556
-228, 558
-229, 562
-230, 564
-231, 566
-232, 559
-233, 563
-234, 565
-235, 568
-236, 561
-237, 564
-238, 567
-239, 569
-240, 570
-241, 566
-242, 568
-243, 570
-244, 572
-245, 568
-246, 571
-247, 572
-248, 573
-249, 574
-250, 572
-251, 574
-252, 575
-253, 575
-254, 575
-255, 576
-254, 576
-253, 576
-252, 575
-251, 575
-250, 574
-249, 575
-248, 572
-247, 572
-246, 572
-245, 573
-244, 570
-243, 570
-242, 570
-241, 571
-240, 571
-239, 566
-238, 567
-237, 568
-236, 569
-235, 562
-234, 564
-233, 565
-232, 567
-231, 568
-230, 560
-229, 562
-228, 564
-227, 565
-226, 556
-225, 558
-224, 560
-223, 563
-222, 564
-221, 554
-220, 557
-219, 559
-218, 562
-217, 549
-216, 553
-215, 556
-214, 559
-213, 556
-212, 548
-211, 552
-210, 555
-209, 558
-208, 543
-207, 547
-206, 551
-205, 555
-204, 548
-203, 542
-202, 547
-201, 551
-200, 554
-199, 537
-198, 542
-197, 547
-196, 552
-195, 541
-194, 537
-193, 543
-192, 547
-191, 548
-190, 530
-189, 537
-188, 543
-187, 548
-186, 534
-185, 531
-184, 538
-183, 544
-182, 541
-181, 524
-180, 532
-179, 539
-178, 544
-177, 528
-176, 526
-175, 534
-174, 540
-173, 533
-172, 519
-171, 528
-170, 535
-169, 538
-168, 521
-167, 522
-166, 530
-165, 537
-164, 527
-163, 515
-162, 525
-161, 533
-160, 533
-159, 516
-158, 520
-157, 528
-156, 536
-155, 522
-154, 514
-153, 524
-152, 532
-151, 528
-150, 513
-149, 519
-148, 528
-147, 535
-146, 519
-145, 513
-144, 523
-143, 532
-142, 523
-141, 512
-140, 519
-139, 528
-138, 529
-137, 514
-136, 513
-135, 523
-134, 532
-133, 520
-132, 511
-131, 518
-130, 527
-129, 526
-128, 512
-127, 512
-126, 522
-125, 531
-124, 515
-123, 510
-122, 517
-121, 526
-120, 521
-119, 511
-118, 512
-117, 522
-116, 527
-115, 513
-114, 510
-113, 517
-112, 527
-111, 516
-110, 510
-109, 512
-108, 522
-107, 523
-106, 511
-105, 510
-104, 517
-103, 526
-102, 514
-101, 510
-100, 511
-99, 522
-98, 520
-97, 511
-96, 510
-95, 515
-94, 524
-93, 514
-92, 510
-91, 510
-90, 518
-89, 522
-88, 511
-87, 509
-86, 510
-85, 520
-84, 517
-83, 510
-82, 510
-81, 512
-80, 522
-79, 513
-78, 510
-77, 510
-76, 515
-75, 520
-74, 511
-73, 510
-72, 510
-71, 518
-70, 514
-69, 510
-68, 509
-67, 510
-66, 520
-65, 511
-64, 509
-63, 509
-62, 512
-61, 518
-60, 510
-59, 509
-58, 509
-57, 515
-56, 512
-55, 510
-54, 509
-53, 509
-52, 517
-51, 510
-50, 509
-49, 509
-48, 510
-47, 514
-46, 509
-45, 509
-44, 509
-43, 513
-42, 510
-41, 509
-40, 509
-39, 509
-38, 515
-37, 509
-36, 509
-35, 509
-34, 509
-33, 512
-32, 509
-31, 509
-30, 509
-29, 510
-28, 510
-27, 509
-26, 509
-25, 509
-24, 513
-23, 509
-22, 509
-21, 509
-20, 509
-19, 510
-18, 509
-17, 509
-16, 509
-15, 509
-14, 509
-13, 509
-12, 509
-11, 509
-10, 510
-9, 509
-8, 509
-7, 510
-6, 509
-5, 509
-4, 509
-3, 509
-2, 509
-1, 509
0, 509
0, 509
1, 509
2, 509
3, 509
4, 509
5, 509
6, 509
7, 509
8, 509
9, 509
10, 509
11, 509
12, 509
13, 509
14, 508
15, 509
16, 509
17, 509
18, 509
19, 508
20, 509
21, 509
22, 509
23, 509
24, 508
25, 508
26, 508
27, 509
28, 509
29, 508
30, 508
31, 509
32, 509
33, 507
34, 508
35, 508
36, 508
37, 508
38, 504
39, 508
40, 508
41, 508
42, 508
43, 501
44, 508
45, 508
46, 508
47, 508
48, 502
49, 507
50, 508
51, 508
52, 507
53, 502
54, 508
55, 508
56, 508
57, 504
58, 503
59, 507
60, 508
61, 508
62, 502
63, 504
64, 508
65, 508
66, 508
67, 499
68, 505
69, 508
70, 508
71, 507
72, 497
73, 506
74, 507
75, 508
76, 505
77, 495
78, 506
79, 508
80, 508
81, 502
82, 496
83, 506
84, 507
85, 508
86, 500
87, 497
88, 506
89, 507
90, 507
91, 497
92, 498
93, 506
94, 507
95, 505
96, 495
97, 499
98, 507
99, 507
100, 502
101, 493
102, 501
103, 507
104, 508
105, 498
106, 491
107, 505
108, 507
109, 503
110, 494
111, 496
112, 506
113, 507
114, 499
115, 490
116, 500
117, 506
118, 505
119, 495
120, 489
121, 503
122, 507
123, 501
124, 491
125, 494
126, 506
127, 506
128, 495
129, 487
130, 499
131, 506
132, 500
133, 491
134, 488
135, 503
136, 506
137, 496
138, 487
139, 493
140, 505
141, 501
142, 492
143, 484
144, 496
145, 506
146, 497
147, 488
148, 487
149, 502
150, 502
151, 492
152, 484
153, 492
154, 505
155, 497
156, 488
157, 481
158, 496
159, 503
160, 493
161, 485
162, 485
163, 500
164, 497
165, 488
166, 480
167, 490
168, 501
169, 491
170, 483
171, 478
172, 494
173, 494
174, 485
175, 478
176, 482
177, 497
178, 488
179, 480
180, 474
181, 485
182, 490
183, 482
184, 475
185, 472
186, 489
187, 484
188, 477
189, 470
190, 477
191, 485
192, 478
193, 472
194, 466
195, 481
196, 479
197, 473
198, 467
199, 467
200, 481
201, 474
202, 468
203, 463
204, 471
205, 475
206, 468
207, 463
208, 460
209, 475
210, 469
211, 464
212, 460
213, 463
214, 469
215, 464
216, 460
217, 457
218, 467
219, 464
220, 460
221, 457
222, 454
223, 464
224, 460
225, 456
226, 453
227, 459
228, 459
229, 456
230, 453
231, 450
232, 458
233, 454
234, 452
235, 450
236, 449
237, 453
238, 451
239, 449
240, 447
241, 452
242, 449
243, 447
244, 446
245, 445
246, 447
247, 445
248, 444
249, 443
250, 445
251, 443
252, 442
253, 442
254, 441
255, 441
254, 440
253, 440
252, 441
251, 442
250, 442
249, 443
248, 443
247, 445
246, 445
245, 445
244, 444
243, 444
242, 449
241, 448
240, 447
239, 446
238, 447
237, 452
236, 450
235, 449
234, 448
233, 456
232, 454
231, 452
230, 451
229, 450
228, 458
227, 456
226, 454
225, 452
224, 459
223, 461
222, 458
221, 455
220, 453
219, 466
218, 462
217, 460
216, 457
215, 460
214, 468
213, 464
212, 461
211, 458
210, 471
209, 468
208, 465
207, 462
206, 461
205, 475
204, 470
203, 466
202, 462
201, 471
200, 476
199, 471
198, 466
197, 463
196, 481
195, 477
194, 471
193, 467
192, 474
191, 483
190, 477
189, 472
188, 467
187, 484
186, 484
185, 478
184, 473
183, 475
182, 492
181, 485
180, 478
179, 473
178, 484
177, 492
176, 485
175, 478
174, 477
173, 494
172, 491
171, 484
170, 478
169, 487
168, 500
167, 491
166, 483
165, 479
164, 495
163, 498
162, 490
161, 482
160, 487
159, 502
158, 496
157, 488
156, 480
155, 495
154, 503
153, 493
152, 485
151, 487
150, 502
149, 499
148, 490
147, 483
146, 495
145, 505
144, 496
143, 488
142, 486
141, 502
140, 504
139, 494
138, 486
137, 493
136, 505
135, 500
134, 490
133, 486
132, 502
131, 506
130, 496
129, 488
128, 494
127, 505
126, 504
125, 494
124, 486
123, 501
122, 506
121, 501
120, 491
119, 493
118, 505
117, 507
116, 497
115, 488
114, 501
113, 506
112, 503
111, 494
110, 494
109, 505
108, 507
107, 500
106, 490
105, 500
104, 506
103, 507
102, 497
101, 492
100, 505
99, 507
98, 504
97, 495
96, 498
95, 505
94, 507
93, 503
92, 493
91, 501
90, 506
89, 507
88, 501
87, 493
86, 504
85, 507
84, 507
83, 500
82, 496
81, 506
80, 507
79, 507
78, 499
77, 500
76, 506
75, 507
74, 507
73, 497
72, 503
71, 506
70, 507
69, 506
68, 496
67, 506
66, 507
65, 507
64, 504
63, 498
62, 506
61, 507
60, 507
59, 503
58, 502
57, 507
56, 507
55, 507
54, 501
53, 505
52, 507
51, 507
50, 507
49, 500
48, 506
47, 507
46, 507
45, 507
44, 500
43, 507
42, 507
41, 507
40, 507
39, 505
38, 507
37, 507
36, 507
35, 506
34, 506
33, 507
32, 507
31, 507
30, 504
29, 507
28, 507
27, 507
26, 507
25, 503
24, 507
23, 507
22, 507
21, 507
20, 506
19, 507
18, 507
17, 507
16, 507
15, 507
14, 507
13, 507
12, 507
11, 507
10, 507
9, 507
8, 507
7, 507
6, 507
5, 507
4, 507
3, 507
2, 507
1, 507
0, 507
0, 507
-1, 507
-2, 507
-3, 507
-4, 507
-5, 507
-6, 507
-7, 507
-8, 507
-9, 507
-10, 507
-11, 507
-12, 507
-13, 509
-14, 508
-15, 508
-16, 507
-17, 507
-18, 508
-19, 508
-20, 508
-21, 508
-22, 508
-23, 508
-24, 508
-25, 508
-26, 508
-27, 509
-28, 508
-29, 508
-30, 508
-31, 508
-32, 513
-33, 508
-34, 508
-35, 508
-36, 508
-37, 511
-38, 508
-39, 508
-40, 508
-41, 510
-42, 510
-43, 508
-44, 508
-45, 508
-46, 513
-47, 509
-48, 508
-49, 508
-50, 508
-51, 517
-52, 509
-53, 508
-54, 508
-55, 510
-56, 515
-57, 509
-58, 509
-59, 508
